date,open,high,low,close,volume,div,split
2026-02-27,390.88,396.82,389.88,392.74,51367200,,
2026-03-02,392.86,401.19,390.63,398.55,35474900,,
2026-03-03,393.14,406.70,392.67,403.93,38199200,,
2026-03-04,401.27,411.03,400.31,405.20,35808000,,
2026-03-05,404.42,411.61,404.40,410.68,39001300,,
2026-03-06,409.20,413.05,408.51,408.96,31123900,,
2026-03-09,404.92,410.21,403.50,409.41,30131900,,
2026-03-10,410.03,410.20,402.93,405.76,31706400,,
2026-03-11,405.57,409.01,401.59,404.88,25512100,,
2026-03-12,404.63,406.12,401.71,401.86,27263900,,
2026-03-13,401.00,404.80,394.25,395.55,26848000,,
2026-03-16,398.07,400.63,394.79,399.95,27733700,,
2026-03-17,400.27,404.40,397.75,399.41,26228300,,
2026-03-18,397.13,398.00,391.00,391.79,25908500,,
2026-03-19,390.10,392.49,387.06,389.02,25138800,,
2026-03-20,386.79,387.00,380.12,381.87,50853200,,
2026-03-23,383.90,387.21,381.68,383.00,29680100,,
2026-03-24,382.36,382.47,371.85,372.74,42733600,,
2026-03-25,376.92,377.06,369.63,371.04,31181200,,
2026-03-26,370.82,374.72,365.19,365.97,36836600,,
2026-03-27,361.90,362.45,356.51,356.77,37883400,,
2026-03-30,361.90,365.36,356.28,358.96,44797000,,
2026-03-31,364.55,372.90,363.07,370.17,45244400,,
2026-04-01,373.49,373.99,368.20,369.37,29417200,,
2026-04-02,367.21,373.64,364.15,373.46,24099100,,
2026-04-06,373.49,373.73,369.50,372.88,16146600,,
2026-04-07,370.34,372.45,366.56,372.29,21443300,,
2026-04-08,384.98,385.00,371.41,374.33,33064800,,
2026-04-09,372.50,373.50,367.05,373.07,30435300,,
2026-04-10,372.98,375.64,370.03,370.87,28111100,,
2026-04-13,373.61,384.54,371.02,384.37,35745800,,
2026-04-14,387.92,394.69,386.52,393.11,37504500,,
2026-04-15,398.00,414.37,396.73,411.22,45063400,,
2026-04-16,419.86,420.82,412.14,420.26,41642400,,
2026-04-17,424.82,431.58,420.69,422.79,48568200,,
2026-04-20,421.15,423.33,416.30,418.07,27582200,,
2026-04-21,420.24,427.18,417.20,424.16,32048500,,
2026-04-22,426.19,433.70,423.67,432.92,29378200,,
2026-04-23,419.89,423.66,411.41,415.75,38308000,,
2026-04-24,416.97,424.95,415.80,424.62,27457400,,
2026-04-27,422.38,427.11,417.07,424.82,30867300,,
2026-04-28,424.57,429.92,421.90,429.25,30438100,,
2026-04-29,424.58,426.82,420.29,424.46,38288300,,
2026-04-30,410.81,414.42,398.01,407.78,70909400,,
2026-05-01,412.80,417.11,410.44,414.44,31372400,,
2026-05-04,411.54,420.78,410.80,413.62,28066500,,
2026-05-05,415.32,416.78,408.80,411.38,25700900,,
2026-05-06,408.00,418.42,405.11,413.96,30285900,,
2026-05-07,420.11,427.98,418.76,420.77,34942400,,
2026-05-08,417.39,418.63,414.00,415.12,33383800,,
2026-05-11,407.87,412.69,405.50,412.66,35657900,,
2026-05-12,414.48,415.50,406.64,407.77,38594200,,
2026-05-13,403.20,406.31,401.03,405.21,29667100,,
2026-05-14,404.48,411.84,400.88,409.43,27077500,,
2026-05-15,414.27,428.17,412.91,421.92,50771200,,
2026-05-18,416.62,425.12,415.61,423.54,32564100,,
2026-05-19,429.90,432.70,416.49,417.42,33018700,,
2026-05-20,414.17,422.10,411.30,421.06,27864000,,
2026-05-21,424.75,426.34,415.71,419.09,31393500,0.91,
2026-05-22,419.54,424.40,416.33,418.57,22390300,,
2026-05-26,416.43,419.77,413.02,416.03,30398000,,
2026-05-27,411.01,415.94,409.58,412.67,28901500,,
2026-05-28,412.98,429.49,412.67,426.99,47250500,,
2026-05-29,432.55,450.33,432.36,450.24,79654400,,
2026-06-01,464.84,466.32,458.27,460.52,53628900,,
2026-06-02,446.88,453.50,440.43,441.31,37036800,,
2026-06-03,438.45,440.39,424.25,427.34,39037000,,
2026-06-04,435.81,436.15,426.41,428.05,26899500,,
2026-06-05,428.34,429.47,414.40,416.67,34782200,,
2026-06-08,414.14,417.16,408.56,411.74,32086700,,
2026-06-09,409.03,411.98,398.48,403.41,35317300,,
2026-06-10,398.55,405.04,397.16,397.36,32576000,,
2026-06-11,395.21,396.85,384.00,390.34,47224100,,
2026-06-12,391.43,391.74,382.27,390.74,34865800,,
2026-06-15,396.80,401.75,392.85,399.76,32266400,,
2026-06-16,395.79,396.84,390.69,393.83,31506800,,
2026-06-17,390.25,390.37,377.32,378.91,41987800,,
2026-06-18,377.82,381.37,373.28,379.40,59714200,,
2026-06-22,375.74,381.63,367.07,367.34,45171100,,
2026-06-23,372.38,377.22,370.67,373.94,40647600,,
2026-06-24,371.57,378.88,364.78,365.46,44509900,,
2026-06-25,362.77,364.23,349.20,352.83,66179000,,
2026-06-26,357.15,376.61,355.43,372.97,186201600,,
2026-06-29,377.50,380.50,359.90,368.57,51229900,,
2026-06-30,371.03,374.15,367.45,373.02,44945700,,
2026-07-01,380.83,388.83,374.89,384.28,48065800,,
2026-07-02,384.48,392.20,383.70,390.49,42128900,,
2026-07-06,387.04,389.15,381.22,386.74,34224500,,
2026-07-07,392.49,395.57,388.22,388.84,29297500,,
2026-07-08,384.03,385.31,381.33,383.34,25908300,,
2026-07-09,374.45,384.65,373.35,384.36,31083200,,
2026-07-10,387.80,391.91,381.50,385.10,24644600,,
2026-07-13,387.75,393.65,384.15,390.99,28914900,,
2026-07-14,382.82,388.19,378.65,384.93,27863900,,
2026-07-15,387.80,398.96,386.40,395.63,36253700,,
2026-07-16,398.31,405.99,392.05,401.10,37047400,,
2026-07-17,394.86,398.39,389.39,393.82,33049800,,
2026-07-20,391.41,403.18,389.65,402.29,27915800,,
2026-07-21,398.81,401.47,396.32,397.75,24126600,,
2026-07-22,399.58,401.00,386.96,390.34,28142500,,
2026-07-23,389.97,391.78,377.39,381.58,30351800,,
2026-07-24,387.05,389.03,380.65,381.70,27659400,,
2026-07-27,390.08,394.20,387.99,389.10,27856200,,
2026-07-28,393.16,400.32,391.30,393.35,32367500,,
2026-07-29,393.40,401.25,388.74,390.54,47209000,,
2026-07-30,437.90,458.69,432.44,451.10,110160700,,
2026-07-31,450.00,466.84,449.33,464.72,60748000,,
2026-08-03,476.39,491.64,475.00,487.65,61678582,,
